url,title
https://wikibook.co.kr/math-model/,데이터 분석을 위한 수리 모델 입문
https://wikibook.co.kr/bigdata2021/,이지패스 2021 빅데이터분석기사 필기 (수험서 앱 제공)
https://wikibook.co.kr/pwdrev/,직장인을 위한 데이터 분석 실무 with 파이썬 (개정판)
https://wikibook.co.kr/pyexcel/,일 잘하는 직장인을 위한 엑셀 자동화 with 파이썬
https://wikibook.co.kr/ugemg/,유니티 게임 이펙트 마스터 가이드
https://wikibook.co.kr/docker-kube-rev/,시작하세요! 도커/쿠버네티스 (개정판)
https://wikibook.co.kr/gamkt/,마케팅 성공률을 높여주는 구글 애널리틱스
https://wikibook.co.kr/ddd/,도메인 주도 설계 철저 입문
https://wikibook.co.kr/global-projects/,아무도 가르쳐 주지 않는 글로벌 프로젝트 관리
https://wikibook.co.kr/sideranch/,프로 일러스트레이터가 알려주는 캐릭터 채색 테크닉 [결정판]:
https://wikibook.co.kr/mjs/,모던 자바스크립트 Deep Dive
https://wikibook.co.kr/nlp-tf2/,텐서플로 2와 머신러닝으로 시작하는 자연어 처리 (개정판)
https://wikibook.co.kr/data-analytics/,데이터 애널리틱스
https://wikibook.co.kr/ga/,구글 애널리틱스 완벽 입문
https://wikibook.co.kr/mymlrev/,나의 첫 머신러닝/딥러닝(개정판)
https://wikibook.co.kr/pyda100/,파이썬 데이터 분석 실무 테크닉 100
https://wikibook.co.kr/odsg/,오브젝트 디자인 스타일 가이드
https://wikibook.co.kr/sql/,하루 10분 SQL
https://wikibook.co.kr/uxui/,이것이 UX/UI 디자인이다
https://wikibook.co.kr/dataviz/,데이터가 한눈에 보이는 시각화
https://wikibook.co.kr/kalman/,수학으로 풀어보는 칼만 필터 알고리즘
https://wikibook.co.kr/bigdata2nd/,실무로 배우는 빅데이터 기술 (개정2판)
https://wikibook.co.kr/dl-vision/,실전! 텐서플로 2를 활용한 딥러닝 컴퓨터 비전
https://wikibook.co.kr/ai-iot/,사물인터넷을 위한 인공지능
https://wikibook.co.kr/hacker/,"침투 본능, 해커의 기술"
https://wikibook.co.kr/csharp-unity/,처음 배우는 C# 프로그래밍
https://wikibook.co.kr/rpa/,RPA로 만드는 나만의 디지털 로봇 비서
https://wikibook.co.kr/linux-kernel-2/,디버깅을 통해 배우는 리눅스 커널의 구조와 원리 -2-
https://wikibook.co.kr/linux-kernel-1/,디버깅을 통해 배우는 리눅스 커널의 구조와 원리 -1-
https://wikibook.co.kr/dltrading-rev/,파이썬과 케라스를 이용한 딥러닝/강화학습 주식투자(개정판)
https://wikibook.co.kr/pystock/,손가락 하나 까딱하지 않는 주식 거래 시스템 구축
https://wikibook.co.kr/serum/,세럼 사운드 디자인 비법
https://wikibook.co.kr/rlrev/,파이썬과 케라스로 배우는 강화학습 (개정판)
https://wikibook.co.kr/xai/,"XAI 설명 가능한 인공지능, 인공지능을 해부하다"
https://wikibook.co.kr/mathdl/,딥러닝을 위한 수학
https://wikibook.co.kr/entry-arduino/,한 권에 모두 담은 엔트리와 아두이노
https://wikibook.co.kr/tracing/,마스터링 분산 추적
https://wikibook.co.kr/cna/,클라우드 네이티브 아키텍처
https://wikibook.co.kr/mathrl/,수학으로 풀어보는 강화학습 원리와 알고리즘
https://wikibook.co.kr/stock-trading/,파이썬과 리액트를 활용한 주식 자동거래 시스템 구축
https://wikibook.co.kr/pymldg-rev/,파이썬 머신러닝 완벽 가이드 (개정판)
https://wikibook.co.kr/hackinglab/,나만의 해킹 랩 만들기
https://wikibook.co.kr/spring-vuejs/,실전! 스프링 5와 Vue.js 2로 시작하는 모던 웹 애플리케이션 개발 
https://wikibook.co.kr/logicprox-104-rev/,Logic Pro X 10.4 개정증보판
https://wikibook.co.kr/tf2/,시작하세요! 텐서플로 2.0 프로그래밍
https://wikibook.co.kr/playwithdata/,직장인을 위한 데이터 분석 실무 with 파이썬
https://wikibook.co.kr/math-ds-rev/,데이터 분석을 떠받치는 수학(개정판)
https://wikibook.co.kr/html-css/,러닝스쿨! 한 권으로 끝내는 HTML+CSS 웹 디자인 입문
https://wikibook.co.kr/docker-kube/,시작하세요! 도커/쿠버네티스
https://wikibook.co.kr/tensorflow-mlagents/,텐서플로와 유니티 ML-Agents로 배우는 강화학습
https://wikibook.co.kr/pyml-rev/,"파이썬을 이용한 머신러닝, 딥러닝 실전 개발 입문 (개정판)"
https://wikibook.co.kr/rlnn/,기초부터 시작하는 강화학습/신경망 알고리즘
https://wikibook.co.kr/csharp80/,시작하세요! C# 8.0 프로그래밍
https://wikibook.co.kr/practical-gan/,실전! GAN 프로젝트
https://wikibook.co.kr/python-math/,파이썬으로 다시 배우는 핵심 고등 수학
https://wikibook.co.kr/transfer-learning/,파이썬을 활용한 딥러닝 전이학습
https://wikibook.co.kr/was/,웹 애플리케이션 보안 완벽 가이드
https://wikibook.co.kr/on-writing/,개발자의 글쓰기
https://wikibook.co.kr/linear-algebra/,엔지니어를 위한 선형대수
https://wikibook.co.kr/keras/,케라스로 구현하는 고급 딥러닝 알고리즘
https://wikibook.co.kr/corejs/,코어 자바스크립트
https://wikibook.co.kr/smartfactory/,그림으로 이해하는 스마트팩토리
https://wikibook.co.kr/opencv4/,C#과 파이썬을 활용한 OpenCV 4 프로그래밍
https://wikibook.co.kr/gan/,실전 예제로 배우는 GAN
https://wikibook.co.kr/python-crawler/,파이썬을 활용한 크롤러 개발과 스크레이핑 입문
https://wikibook.co.kr/vrar/,절대강좌! 유니티 VR/AR
https://wikibook.co.kr/blockchain-cs/,컴퓨터과학으로 배우는 블록체인 원리와 구현
https://wikibook.co.kr/microservices-in-action/,마이크로서비스 인 액션
https://wikibook.co.kr/practical-hlf/,실전! 하이퍼레저 패브릭
https://wikibook.co.kr/spring5-reactive/,실전! 스프링 5를 활용한 리액티브 프로그래밍
https://wikibook.co.kr/ml-solutions/,전문가를 위한 머신러닝 솔루션
https://wikibook.co.kr/app-inventor-2-rev/,시작하세요! 앱 인벤터 2 (개정판)
https://wikibook.co.kr/object/,오브젝트
https://wikibook.co.kr/motion5/,시작하세요! Motion 5
https://wikibook.co.kr/securing-devops/,클라우드 환경에서의 데브옵스 보안
https://wikibook.co.kr/python-real-estate/,파이썬을 활용한 부동산 데이터 분석
https://wikibook.co.kr/csharp73/,시작하세요! C# 7.3 프로그래밍
https://wikibook.co.kr/super-connected/,초연결사회의 탄생
https://wikibook.co.kr/blockchain-by-python/,파이썬으로 배우는 블록체인 구조와 이론
https://wikibook.co.kr/hyperledger-fabric/,하이퍼레저 패브릭 철저 입문
https://wikibook.co.kr/vuejs/,Vue.js 철저 입문
https://wikibook.co.kr/coreml/,실전! Core ML을 활용한 머신러닝 iOS 앱 개발
https://wikibook.co.kr/python-for-data-analysis-rev/,데이터 분석을 위한 파이썬 철저 입문 (개정증보판)
https://wikibook.co.kr/practical-elasticsearch/,엘라스틱서치 실무 가이드
https://wikibook.co.kr/python-ml-app-dev/,"파이썬을 이용한 머신러닝, 딥러닝 실전 앱 개발"
https://wikibook.co.kr/unity-bible/,유니티 게임 프로그래밍 바이블
https://wikibook.co.kr/amazon-rules/,아마존 룰
https://wikibook.co.kr/docker-kubernetes/,도커/쿠버네티스를 활용한 컨테이너 개발 실전 입문
https://wikibook.co.kr/algorithm-trading-rev/,파이썬으로 배우는 알고리즘 트레이딩 (개정판)
https://wikibook.co.kr/springboot-microservices/,스프링 부트를 활용한 마이크로서비스 개발
https://wikibook.co.kr/ml-definitive-guide/,파이썬 머신러닝 완벽 가이드
https://wikibook.co.kr/fcpx-104-revised/,시작하세요! Final Cut Pro X 10.4 (개정증보판)
https://wikibook.co.kr/nlp/,텐서플로와 머신러닝으로 시작하는 자연어 처리
https://wikibook.co.kr/practical-deep-learning/,실전! 딥러닝
https://wikibook.co.kr/deep-learning-reference/,딥러닝 모델 설계를 떠받치는 기술
https://wikibook.co.kr/aws-infra/,서비스 운영이 쉬워지는 AWS 인프라 구축 가이드
https://wikibook.co.kr/php-mysql/,생활코딩! PHP+MySQL
https://wikibook.co.kr/html-css-js/,생활코딩! HTML+CSS+자바스크립트
https://wikibook.co.kr/machine-learning/,나의 첫 머신러닝/딥러닝
https://wikibook.co.kr/tensorflow/,텐서플로로 시작하는 딥러닝 입문
https://wikibook.co.kr/nodejs-microservices/,실전! Node.js 마이크로서비스 개발
https://wikibook.co.kr/pytorch-drl/,PyTorch를 활용한 강화학습/심층강화학습 실전 입문
https://wikibook.co.kr/aws-design-migration/,AWS 시스템 설계와 마이그레이션
https://wikibook.co.kr/react-redux/,모던 리액트/리덕스 프로그래밍
https://wikibook.co.kr/cybersecurity-with-blockchain/,블록체인으로 구현하는 사이버 보안
https://wikibook.co.kr/tensorflow-projects/,실전활용! 텐서플로 딥러닝 프로젝트
https://wikibook.co.kr/unity-ml-agents/,따라 하면서 배우는 유니티 ML-Agents
https://wikibook.co.kr/mastering-spring-cloud/,마스터링 스프링 클라우드
https://wikibook.co.kr/pytorch/,"PyTorch를 활용한 머신러닝, 딥러닝 철저 입문"
https://wikibook.co.kr/future-techs/,교양으로서의 테크놀러지
https://wikibook.co.kr/easy-deep-learning/,가장 쉬운 딥러닝 입문 교실
https://wikibook.co.kr/logic-pro-x-104/,Logic Pro X 10.4
https://wikibook.co.kr/neural-deep-learning/,초보자를 위한 신경망 딥러닝 입문
https://wikibook.co.kr/solidity-essentials/,솔리디티 프로그래밍 에센셜
https://wikibook.co.kr/python-for-data-analysis/,데이터 분석을 위한 파이썬 철저 입문
https://wikibook.co.kr/data-analysis-with-r/,시작하세요! 데이터 분석 with R
https://wikibook.co.kr/raspberry-pi-3/,라즈베리 파이 3 입문과 실전 활용
https://wikibook.co.kr/design-for-behavior-change/,마음을 움직이는 디자인 원리
https://wikibook.co.kr/crawling-essentials/,크롤링 핵심 가이드
https://wikibook.co.kr/ctf-workbook/,정보보안 콘테스트를 위한 CTF 문제집
https://wikibook.co.kr/math-for-data-science/,데이터 분석을 떠받치는 수학
https://wikibook.co.kr/deep-learning-trading/,파이썬과 케라스를 이용한 딥러닝/강화학습 주식투자
https://wikibook.co.kr/unity-2018/,절대강좌! 유니티
https://wikibook.co.kr/cryptocurrency-trading/,파이썬으로 만드는 암호화폐 자동 거래 시스템
https://wikibook.co.kr/opencv3/,러닝! OpenCV 3
https://wikibook.co.kr/fcpx-104/,시작하세요! Final Cut Pro X 10.4
https://wikibook.co.kr/infra-security/,인프라 보안
https://wikibook.co.kr/learn-math/,프로그래머가 알려주는 수학
https://wikibook.co.kr/data-intensive-applications/,데이터 중심 애플리케이션 설계
https://wikibook.co.kr/spark2nd/,빅데이터 분석을 위한 스파크 2 프로그래밍 [개정판]
https://wikibook.co.kr/agile-data-science/,애자일 데이터 과학 2.0
https://wikibook.co.kr/exploring-raspberry-pi/,익스플로링 라즈베리 파이
https://wikibook.co.kr/python-for-web-scraping/,파이썬을 이용한 웹 크롤링과 스크레이핑
https://wikibook.co.kr/introducing-spring-framework/,스프링 철저 입문
https://wikibook.co.kr/math-for-ml/,기초 수학으로 이해하는 머신러닝 알고리즘
https://wikibook.co.kr/introducing-data-science/,파이썬으로 배우는 데이터 과학 입문과 실습
https://wikibook.co.kr/real-mongodb/,Real MongoDB
https://wikibook.co.kr/data-science-with-excel/,엑셀을 활용한 데이터 과학 실무 입문
https://wikibook.co.kr/practical-csharp/,프랙티컬 C#
https://wikibook.co.kr/ethereum-solidity/,이더리움과 솔리디티 입문
https://wikibook.co.kr/serverless-architecture-on-aws/,AWS 기반 서버리스 아키텍처
https://wikibook.co.kr/google-analytics/,구글 애널리틱스 완벽 가이드
https://wikibook.co.kr/nodejs-react/,모던 자바스크립트 개발자를 위한 리액트 프로그래밍
https://wikibook.co.kr/blockchain-solidity/,블록체인 애플리케이션 개발 실전 입문
https://wikibook.co.kr/learning-computer-architecture/,라즈베리 파이로 배우는 컴퓨터 아키텍처
https://wikibook.co.kr/deep-learning-with-tensorflow/,정석으로 배우는 딥러닝
https://wikibook.co.kr/learning-angular/,러닝! Angular 4
https://wikibook.co.kr/vrar-lecture/,절대강좌! VR/AR
https://wikibook.co.kr/intelligent-web-algorithms/,지능형 웹 알고리즘
https://wikibook.co.kr/ansible/,앤서블 철저 입문
https://wikibook.co.kr/real-world-machine-learning/,리얼월드 머신러닝
https://wikibook.co.kr/python-ds-handbook/,파이썬 데이터 사이언스 핸드북
https://wikibook.co.kr/beginning-csharp-71/,시작하세요! C# 7.1 프로그래밍
https://wikibook.co.kr/bigdata-revised/,실무 프로젝트로 배우는 빅데이터 기술(개정증보판)
https://wikibook.co.kr/swift-3-app-development/,실전강좌! 아이폰 앱 프로그래밍
https://wikibook.co.kr/html-css-design/,최신 표준 HTML5+CSS3 디자인
https://wikibook.co.kr/vue-js-2/,쉽고 빠르게 배우는 Vue.js 2 프로그래밍
https://wikibook.co.kr/slack/,슬랙으로 협업하기
https://wikibook.co.kr/reinforcement-learning/,파이썬과 케라스로 배우는 강화학습
https://wikibook.co.kr/python-for-everyone/,러닝스쿨! 파이썬 교과서
https://wikibook.co.kr/code-complete-2/,Code Complete 코드 컴플리트 2
https://wikibook.co.kr/python-36-programming/,빠르게 활용하는 파이썬 3.6 프로그래밍
https://wikibook.co.kr/blockchain/,블록체인 구조와 이론
https://wikibook.co.kr/python-machine-learning/,"파이썬을 이용한 머신러닝, 딥러닝 실전 개발 입문"
https://wikibook.co.kr/advanced-android-book/,안드로이드 개발 레벨업 교과서
https://wikibook.co.kr/algorithm-trading/,파이썬으로 배우는 알고리즘 트레이딩
https://wikibook.co.kr/logic-pro-x-103/,Logic Pro X 10.3
https://wikibook.co.kr/software-requirements-3rd/,Software Requirement 소프트웨어 요구사항 3
https://wikibook.co.kr/ai/,최신 인공지능
https://wikibook.co.kr/docker/,시작하세요! 도커
https://wikibook.co.kr/python-for-sysadmin/,파이썬 실무 프로그래밍
https://wikibook.co.kr/framer/,모바일 앱 프로토타이핑
https://wikibook.co.kr/unity5-shader-and-effect/,따라 하면서 배우는 유니티5 셰이더와 이펙트 입문
https://wikibook.co.kr/web-security/,취약점 진단 스타트 가이드
https://wikibook.co.kr/spark/,빅데이터 분석을 위한 스파크 2 프로그래밍
https://wikibook.co.kr/bigdata/,실무 프로젝트로 배우는 빅데이터 기술
https://wikibook.co.kr/100-more-things-for-designers/,모든 기획자와 디자이너가 알아야 할 사람에 대한 또 다른 100가지 사실
https://wikibook.co.kr/angular-2/,쉽고 빠르게 배우는 Angular 2 프로그래밍
https://wikibook.co.kr/java-for-everyone/,생활코딩! 자바 프로그래밍 입문
https://wikibook.co.kr/beginning-react/,시작하세요! 리액트 프로그래밍
https://wikibook.co.kr/swift-app-development/,아이폰 앱 개발 교과서 (초보 입문용)
https://wikibook.co.kr/linux-kernel-networking/,리눅스 커널 네트워킹
https://wikibook.co.kr/unity-game-effects/,유니티 게임 이펙트 입문
https://wikibook.co.kr/ugui/,유니티 UI 디자인 교과서
https://wikibook.co.kr/ctf/,CTF 정보보안 콘테스트 챌린지 북
https://wikibook.co.kr/rdb-in-practice/,관계형 데이터베이스 실전 입문
https://wikibook.co.kr/ai-by-algorithm/,"알고리즘으로 배우는 인공지능, 머신러닝, 딥러닝 입문"
https://wikibook.co.kr/ez-powerpoint/,EZ의 맛있는 파워포인트 디자인 168
https://wikibook.co.kr/machine-learning-theory/,머신러닝 이론 입문
https://wikibook.co.kr/pro-react/,프로 리액트
https://wikibook.co.kr/flask-revised/,파이썬 웹 프로그래밍 (개정증보판)
https://wikibook.co.kr/laravel-5-programming/,쉽게 배우는 라라벨 5 프로그래밍
https://wikibook.co.kr/appliednsm/,실전 네트워크 보안 모니터링
https://wikibook.co.kr/beginning-hadoop-programming-2rev/,시작하세요! 하둡 프로그래밍 (개정2판)
https://wikibook.co.kr/aws-for-infra-design/,아마존 웹 서비스를 이용한 글로벌 서비스 인프라 설계
https://wikibook.co.kr/netty-in-action/,네티 인 액션
https://wikibook.co.kr/blog-branding-revised/,블로그 브랜딩 (개정증보판)
https://wikibook.co.kr/excel-textbook/,절대 엑셀
https://wikibook.co.kr/vmware-nsx/,알기 쉽게 설명한 VMware NSX
https://wikibook.co.kr/unity-5-by-example/,핵심강좌! 유니티5
https://wikibook.co.kr/java-of-things/,사물인터넷을 위한 자바
https://wikibook.co.kr/logic-pro-x-102/,Logic Pro X 10.2 (개정판)
https://wikibook.co.kr/naver-writing-revised/,웹 기획자가 알아야 할 서비스 글쓰기의 모든 것 (개정판)
https://wikibook.co.kr/app-inventor-2/,시작하세요! 앱 인벤터 2
https://wikibook.co.kr/practical-performance-tuning/,실무로 배우는 시스템 성능 최적화
https://wikibook.co.kr/systems-performance/,시스템 성능 분석과 최적화
https://wikibook.co.kr/modern-web-design-book/,모던 웹사이트 디자인의 정석
https://wikibook.co.kr/jquery-mobile/,쉽게 따라 하는 모바일 웹 개발
https://wikibook.co.kr/ptal-reprint/,실용주의 사고와 학습 (재출간판)
https://wikibook.co.kr/peaa/,엔터프라이즈 애플리케이션 아키텍처 패턴
https://wikibook.co.kr/js-study-advanced/,자바스크립트+jQuery 완전정복 스터디 3: 중급/고급/활용편
